district,lfpr_percent,state,digital_gender_gap,f_mean_age,f_mean_education,f_mean_yrs_edu,f_pct_literate,f_pct_sc,f_pct_st,f_pct_general,f_pct_obc,f_mean_wealth_scr,f_mean_wealth_idx,f_pct_urban,f_pct_rural,f_mean_hh_size,f_pct_married,f_pct_divorced,f_pct_has_mobile,f_pct_ever_breastfed_c1,f_n_respondents
madhepura,12.08791256,bihar,44.754066,28.308264,1.0380419,4.6276345,58.618076,21.38312,2.6697135,9.4751873,65.362328,-1042869.694,1.4417512,4.2950912,95.70491,5.8429065,81.296059,1.4110819,48.032005,27.582434,1132.472041
madhubani,2,bihar,27.361954,28.588676,1.1164955,5.2482362,57.293491,20.803194,5.9597807,19.916697,53.320332,-713195.259,1.793191,3.4188919,96.581108,5.4459147,76.091675,2.4204793,58.749603,26.292923,2480.603262
munger,9.126984596,bihar,37.627884,29.382792,1.5197035,7.4577813,72.902122,16.44767,3.2173316,20.958191,58.63945,-30335.90788,2.755054,36.332912,63.667088,5.9203916,76.124863,2.9975972,54.732872,30.471191,841.5365831
muzaffarpur,3.085299492,bihar,46.472099,28.813761,1.3691294,6.4846253,67.985229,24.9765,1.9011037,20.353951,52.051567,-447811.8064,2.1656663,15.608422,84.391579,5.7768579,75.724892,1.4608713,50.849182,23.279589,3154.712368
nalanda,10.10638332,bihar,42.200741,29.041916,1.165158,5.4540739,57.675735,27.906395,2.220017,14.07789,55.7957,-178235.1371,2.5206931,21.88166,78.11834,6.0966196,73.937798,2.3216631,47.289585,33.877087,1620.331955
nawada,1.869158864,bihar,40.318081,28.32925,1.3264955,6.4158497,65.103218,27.742228,0.58159846,12.824903,58.529942,-256241.2741,2.4641752,18.089787,81.910217,6.5447512,71.651939,2.4356217,53.810978,45.098774,1228.315297
pashchim champaran,2.380952358,bihar,41.000336,28.438753,1.0953892,4.9491186,59.92345,21.238068,7.8039966,11.282119,59.168095,-678061.6029,1.9039706,18.566984,81.433014,6.0769172,74.98101,0.97648811,45.607674,22.613577,2340.270578
patna,6.602475643,bihar,32.108486,29.152752,1.5239832,7.3995943,72.198059,20.327181,2.3361397,17.469282,59.274597,273287.4096,3.174315,50.256111,49.743893,5.9428129,73.678307,3.0112076,59.887707,37.940361,2925.029387
purba champaran,2.405498266,bihar,30.153526,28.396421,1.0252728,4.6223612,55.011314,18.826658,1.2072142,18.195686,60.534332,-568597.1898,2.005816,11.328706,88.671288,6.0479302,77.131729,1.8192295,58.053856,21.126369,3270.973417
purnia,12.13235283,bihar,26.011749,27.833561,0.96856654,4.3755155,50.753082,21.804295,8.1843958,16.701685,51.857929,-891983.458,1.671967,13.121475,86.878525,5.8373713,79.698029,2.2002621,58.190811,21.145126,1984.585255
rohtas,6.737588406,bihar,41.574509,28.729542,1.5774604,7.5808349,76.329178,24.832134,1.1380544,9.139822,64.889992,-25577.73944,2.7245317,18.654568,81.345436,6.2742057,68.37146,3.2927825,45.525276,30.911156,1957.219363
saharsa,8.387097359,bihar,41.326424,28.098171,0.88929445,4.1409268,45.938656,23.443443,6.4357772,16.237827,52.368843,-841321.8331,1.6734637,10.464632,89.53537,5.8856483,82.790771,1.7973986,53.447296,24.891573,1062.664009
samastipur,1.790281415,bihar,32.045887,29.241087,1.1450675,5.3220983,59.369904,29.472702,3.959341,14.634599,51.757294,-740191.2544,1.7817222,3.0013661,96.998634,5.7989573,79.788956,1.9029776,56.271084,20.620125,2528.337707
saran,3.380281925,bihar,41.956478,28.419844,1.321703,6.3629141,67.373627,19.884344,3.198158,14.513521,60.724865,-415774.942,2.2173121,17.554855,82.445145,6.5559468,70.862175,2.5533562,45.653065,21.131859,2282.051518
sheikhpura,1.754385948,bihar,43.920559,29.294649,1.1565303,5.4479508,58.473022,27.017672,0.92149246,16.230286,55.830551,-282953.584,2.3860798,24.644707,75.355293,6.3005295,74.257942,3.2629085,46.282764,36.121895,346.6932411
sheohar,0,bihar,40.331959,28.373854,1.0361629,4.7637777,56.300766,18.372337,2.1316457,22.261761,57.234257,-662117.8541,1.8802302,5.7147408,94.285263,4.9466896,73.211464,1.4403192,49.037395,24.457655,406.1143528
sitamarhi,1.550387621,bihar,30.81012,27.870668,1.0904809,4.8229651,59.84053,21.735891,3.5974865,15.327507,59.145332,-689155.9506,1.852924,4.275033,95.724968,5.7854953,75.308678,1.7692734,58.405258,21.166485,2221.96591
siwan,12.82051373,bihar,36.852444,28.638567,1.4952816,7.1809735,75.085426,21.258202,3.5335474,14.624086,60.584164,-219216.0408,2.4783466,14.390315,85.609688,6.3216372,65.023544,1.6991949,51.953167,22.051584,2021.880183
supaul,21.01910782,bihar,38.938248,28.654528,0.86425263,3.8209484,48.440418,25.392004,1.9225661,10.682055,61.547356,-973733.3179,1.4308531,5.3515167,94.648483,6.0351105,79.950539,1.8978143,52.411758,23.402016,1429.606535
